Text,Noun,Number of Nouns,Verb,Number of Verbs,Adjective,Number of Adjectives
University of Illinois Urbana-Champaign,[],0,[],0,[],0
University of San Francisco,[],0,[],0,[],0
WHU - Otto Beisheim School of Management,[],0,[],0,[],0
Harvard Business School,[],0,[],0,[],0
Cornell University,[],0,[],0,[],0
San Diego State University,[],0,[],0,[],0
Northeastern University,[],0,[],0,[],0
Boston University,[],0,[],0,[],0
Columbia Business School,[],0,[],0,[],0
"Management Development Institute, Gurgaon (MDI)",[],0,[],0,[],0
Brown University,[],0,[],0,[],0
Emory University’s Goizueta Business School,[],0,[],0,[],0
Startup School by Y Combinator,[Combinator],1,[],0,[],0
